State,County,Population,% rural,FIPS,% Children in Poverty,% Unemployed,Income Ratio,% Children in Single-Parent Households,Violent Crime Rate,Injury Death Rate,Years of Potential Life Lost Rate,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation Index,% Homeowners,% Completed High School,% Some College
Tennessee,Bradley,109071,32.971918798,47011,17.0,6.64754706,4.3349822425,24.858732877,554.09123266,81.092520385,8706.0,49802.0,47.842043453,30.381166109,66.81070464,87.073807344,58.539330057
Tennessee,Cannon,14847,81.131802043,47015,18.3,6.50169075,4.7165484161,19.283387622,177.18314952,148.13789284,13457.0,50628.0,54.720711814,11.878346425,76.80587919,84.057126202,41.383156721
Tennessee,Carroll,27779,83.058691536,47017,22.9,7.37490507,4.9917331315,20.67983925,253.5595865,98.195214954,11214.0,47390.0,58.510087946,23.004034113,73.628672792,87.177761673,59.071452091
Tennessee,Carter,56418,40.965449986,47019,20.9,6.99217924,4.8588180113,24.230992455,270.6788062,109.16179337,11499.0,44786.0,47.823476434,45.586625086,71.975159421,85.133950778,55.546419495
Tennessee,Cheatham,41101,82.961258151,47021,12.5,5.63036644,3.6053142801,22.021336328,282.82320407,141.78651003,10884.0,78330.0,44.376345867,25.887260684,77.449892277,86.566066802,54.540251812
Tennessee,Chester,17432,65.24429397,47023,20.6,5.69725864,4.0916880499,33.051519155,263.3462144,87.783129469,9230.0,42839.0,53.382663848,40.765084726,77.169559413,85.296463706,53.283395755
Tennessee,Clay,7629,100.0,47027,30.1,8.12201397,5.1698603215,28.743654822,283.26788129,148.3756768,11636.0,37683.0,68.115942029,13.60064665,77.865239295,80.745006298,35.829567463
Tennessee,Cocke,36225,67.531265773,47029,30.3,10.24943927,4.3150064683,32.247021772,607.66593955,112.98929398,15088.0,41576.0,57.771260997,38.323115274,69.606943758,81.759969325,36.697018835
Tennessee,Coffee,57632,47.289567391,47031,19.9,7.77760425,3.8935119887,23.413942379,458.32986814,100.15452412,10562.0,55177.0,54.879054426,29.026678478,66.764999546,86.913418781,45.814659534
Tennessee,Crockett,14180,67.379679144,47033,20.4,5.85137507,4.3098000377,31.820860342,403.5843765,86.565580408,11908.0,50046.0,58.598510494,19.990719993,70.139748806,83.81320582,48.287064383
Tennessee,Cumberland,61603,60.892369722,47035,20.5,7.67606563,3.9141979769,22.582186544,296.79699429,100.15724688,10261.0,52529.0,53.640994906,40.793411292,79.082193338,87.136757722,43.97632312
Tennessee,Davidson,694176,3.4119432375,47037,17.3,8.02645389,4.2978125556,32.771859774,1104.5843064,109.0679751,9118.0,64418.0,32.643689512,40.656742963,54.424238652,89.695834091,73.699960356
Tennessee,Decatur,11601,100.0,47039,24.4,8.59708193,4.588863463,14.985590778,257.2678158,109.42041375,10966.0,47232.0,51.405371643,28.410154138,79.685141255,84.703519962,51.396877568
Tennessee,Dickson,54376,67.752587283,47043,15.6,5.90043257,3.8474726574,23.755822506,497.12371446,120.31799935,10418.0,60309.0,49.351602643,42.733401207,76.133749169,85.595732069,54.216608053
Tennessee,Dyer,36693,42.864223295,47045,22.4,8.03577051,5.0049671527,33.083900227,771.41430336,83.179942364,12113.0,50906.0,64.966877215,43.633923948,62.327287015,85.749414984,55.525666891
Tennessee,Fentress,18787,100.0,47049,24.4,6.51739304,4.0675309709,27.528675704,167.28002676,115.59937184,12108.0,43931.0,55.813953488,32.499099804,75.963626493,80.722070845,44.963019638
